"zone_key","CODCOM","CODZONA","cx","cy","dist_cortina_km"
"M437_D1","M437","D1",726778.89411206,5088276.34441866,71.9529003136322
"M437_B2","M437","B2",725742.10987236,5087968.11853766,72.4565488966409
"M437_B3","M437","B3",727467.060129455,5091280.22558495,68.8733400002766
"M437_R3","M437","R3",729319.601256777,5094143.78463621,65.7277560000131
"M437_B1","M437","B1",727523.329570034,5089510.19031931,70.6030588735005
"M437_R2","M437","R2",724760.830503942,5092285.59834601,68.4481372422417
"A206_R1","A206","R1",733465.333195551,5143406.14578466,16.9730313831197
"A206_B1","A206","B1",732141.811507054,5143589.07656054,17.3844280481503
"A206_E1","A206","E1",730102.524525377,5147110.21642548,15.6134257096242
"A982_R1","A982","R1",743917.391409754,5147425.10251339,12.0868072005794
"A982_D1","A982","D1",748583.294197139,5147062.17027101,14.5020715455753
"A982_B1","A982","B1",746972.053463912,5147728.69639612,13.066825229766
"B375_R1","B375","R1",755220.865782578,5152578.63925198,16.2438663693991
"B375_B1","B375","B1",759807.128374749,5149011.66133324,21.911991086629
"C672_R1","C672","R1",751483.664284694,5140805.5171089,21.3262913921309
"C672_B1","C672","B1",753008.063355624,5142945.73811838,20.4500050303653
"G404_R1","G404","R1",720775.855306438,5102965.83647844,59.2854402926966
"G404_D1","G404","D1",722037.19902927,5101997.03906189,59.8044251701452
"G404_B1","G404","B1",723175.71900692,5102347.77551574,59.131198855359
"G642_R1","G642","R1",759988.043576449,5145742.61480036,23.7256673771951
"G642_B1","G642","B1",758408.544971828,5146686.15599783,21.8884988828947
"G642_D3","G642","D3",758620.95610541,5147054.96650697,21.8618883472166
"I876_R1","I876","R1",757261.462778721,5122716.19970536,40.0172829214991
"I876_B1","I876","B1",754644.686816403,5122125.98435909,39.5281507289703
